yarn_tensile_strength,yarn_elongation_at_break,yarn_hairiness_index,twist_per_meter,yarn_linear_density_dtex,loom_speed_rpm,loom_tension_variation,ambient_humidity_percent,ambient_temperature_c,weft_insertion_rate,quality_label
30.29110025147351,10.62218198593152,4.195094515846007,440.79873465426783,2163.7123819208987,591.2865874340953,20.317909565196413,62.181890269193836,22.7297617383774,535.8577791184746,0
26.755078243101437,10.8650898489575,4.463289914017018,452.39007019734873,2165.939118820391,597.9788213750757,10.360146290567517,64.28589240705111,21.43695377939913,534.5326475787687,0
24.889082199467442,16.686302228006067,5.18570890131191,419.7881301023942,2156.8093390409836,617.5270540364203,15.571030970959693,58.78974471199411,23.54921081118413,537.6416807041378,0
24.453958860978318,5.999757838840515,10.704186074504957,367.8893550962818,2167.963238067594,643.2697590082665,45.25255295281611,47.957571395542246,22.155539698929758,619.0742817290961,1
22.28163076396662,14.168323727339851,3.5152708526635066,484.2570779497644,2145.294847857501,630.7366949386785,14.688894342560557,58.21149881064661,24.74435441778234,555.3178424070172,0
25.1932032595758,12.548123845899532,3.8119446501122574,415.94844558538864,2291.9687783113613,617.9455200257574,19.3004614759284,58.16458891862544,23.19926624936684,547.0694181801688,0
24.742327297755494,13.379962371167629,4.44939958195987,496.8532974965264,2287.6354221208308,639.1329477969043,21.529341324606193,66.6574161279659,22.428089044521442,552.4762251119861,0
14.515645023769114,10.557716151887611,12.02093390456258,356.11937369811017,2390.0579227697312,637.4414815247516,43.653884732893886,49.29614057813811,27.5609499334006,532.8474821356225,1
25.660981579703385,18.395844408804525,4.553976507217743,416.9966337505625,2191.3316572307176,615.8614501003119,19.332850800265142,62.489706256152076,24.01701163054206,563.2028226596494,0
23.612886387648338,8.814249526992683,8.953233211943887,308.77130253126484,2419.576725604286,701.0957350526272,29.175733814076306,65.54053220399265,28.3005705296701,591.1277802565884,1
25.482304409124186,14.104054835815921,3.9130337171950833,461.52127115749175,2226.0587875906926,596.4546687917144,19.402925569005355,61.49977538142997,25.78721763718009,559.1363311700864,0
23.7580360538634,16.082894051886218,6.144755446186071,471.3560746329623,2201.526915229092,617.5894661108456,19.972159990403632,62.339505974880204,26.17593876830736,554.6316233510494,0
